¬ÂÏˇ	J1	J2	J3	R1	R2	R3	60 10JAA10FP901XQ01 P ‰‡‚Î ‚ ‡Á    	82 10JEC01FT901XQ51 “ ’ —– √÷“    	77 10JEC02FT901XQ51 “ √–◊ —– √÷“  	232 10JEA00FP001XQ01 —–(P) œ√ 	102 10JDA00FG912XQ02 œŒ√– √– 12 Œ– —”«	101 10JDA00FG911XQ02 œŒ√– √– 11 Œ– —”«	100 10JDA00FG910XQ02 œŒ√– √– 10 Œ– —”«	241 10JEF10FL902XQ01 L ¬  ƒ JEF10BB001 	237 10JEA10CL004XQ01 ”–Œ¬≈Õ‹  Œ“ÀŒ¬Œ… ¬Œƒ€	51 10KUA12CQ001XQ51 — ¡Œ–    	53 10KBA40CQ001XQ01 Q ¡Œ– ¬ œŒƒœ 1  	63 10JEC00FF903XQ02 —”ÃÃ Œ¡ F ◊/« –≈¿ “ 	54 10JKS00FU901XQ02 N ¿ «, %   	59 10MKA01FE901XQ01 N ›À, %   	243 10JKS10FX901XQ01 Œ‘—≈“    	
18524524.962	4.1016E-05	4.0764E-05	7.5872E-13	0.1187	0.1186	0.0808	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.988	4.10173E-05	4.0756E-05	7.5824E-13	0.1186	0.1183	0.0807	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524525.023	4.10187E-05	4.07533E-05	7.5656E-13	0.1185	0.1181	0.0792	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.049	4.10187E-05	4.0752E-05	7.552E-13	0.1184	0.1179	0.0781	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.083	4.102E-05	4.07587E-05	7.5296E-13	0.1183	0.1179	0.0759	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.118	4.10213E-05	4.07613E-05	7.516E-13	0.1182	0.1179	0.0748	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.144	4.1028E-05	4.07587E-05	7.4744E-13	0.1182	0.1177	0.0702	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.178	4.10293E-05	4.076E-05	7.42E-13	0.1181	0.1176	0.0641	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.204	4.10293E-05	4.0764E-05	7.3896E-13	0.118	0.1176	0.061	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.239	4.10293E-05	4.0764E-05	7.3328E-13	0.1178	0.1174	0.0545	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.273	4.10293E-05	4.0768E-05	7.3064E-13	0.1177	0.1174	0.0519	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.299	4.10253E-05	4.07707E-05	7.2592E-13	0.1175	0.1173	0.0467	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.334	4.10227E-05	4.0768E-05	7.2408E-13	0.1173	0.1172	0.0451	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.36	4.1016E-05	4.07667E-05	7.212E-13	0.117	0.117	0.0422	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.394	4.1012E-05	4.07653E-05	7.2008E-13	0.1168	0.1168	0.0417	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.429	4.10133E-05	4.0764E-05	7.1744E-13	0.1167	0.1167	0.0391	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.455	4.1016E-05	4.07667E-05	7.1488E-13	0.1167	0.1166	0.0366	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.489	4.10187E-05	4.0768E-05	7.1328E-13	0.1166	0.1165	0.0354	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.524	4.10187E-05	4.0764E-05	7.1048E-13	0.1165	0.1163	0.0325	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.55	4.10133E-05	4.07653E-05	7.0944E-13	0.1163	0.1162	0.0321	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.584	4.10093E-05	4.07627E-05	7.08E-13	0.116	0.1161	0.0311	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.61	4.10027E-05	4.07573E-05	7.076E-13	0.1158	0.1158	0.0314	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.645	4.09933E-05	4.07587E-05	7.0784E-13	0.1155	0.1157	0.0326	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.679	4.09933E-05	4.076E-05	7.0824E-13	0.1154	0.1156	0.034	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.705	4.0992E-05	4.07573E-05	7.1E-13	0.1152	0.1155	0.0372	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.74	4.09933E-05	4.07573E-05	7.1296E-13	0.1151	0.1153	0.0419	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.766	4.1E-05	4.07547E-05	7.1464E-13	0.1152	0.1152	0.0448	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.8	4.10027E-05	4.07493E-05	7.1816E-13	0.1151	0.1149	0.05	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.835	4.1004E-05	4.07493E-05	7.1984E-13	0.115	0.1148	0.0527	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.861	4.09973E-05	4.07507E-05	7.228E-13	0.1147	0.1147	0.057	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.895	4.09947E-05	4.07493E-05	7.2392E-13	0.1146	0.1146	0.0588	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.921	4.09933E-05	4.07547E-05	7.244E-13	0.1144	0.1146	0.0598	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.956	4.09933E-05	4.07547E-05	7.2384E-13	0.1143	0.1145	0.0594	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524525.99	4.0996E-05	4.07613E-05	7.2304E-13	0.1143	0.1145	0.0588	15.84778	290.1693	302.0972	6.79666	81.88445	103.04	103.04	5.953369	2.824219	6.123997	4.528809	90814.66	1208.944	0.194224	-4.255567
18524526.016	4.0996E-05	4.07653E-05	7.2336E-13	0.1141	0.1145	0.0595	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.051	4.10027E-05	4.0764E-05	7.24E-13	0.1142	0.1143	0.0607	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.077	4.1004E-05	4.07613E-05	7.2608E-13	0.1141	0.1141	0.0637	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.111	4.10027E-05	4.076E-05	7.2752E-13	0.1139	0.114	0.0658	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.146	4.1004E-05	4.07627E-05	7.3176E-13	0.1138	0.1139	0.0714	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.172	4.1004E-05	4.07587E-05	7.3456E-13	0.1137	0.1137	0.075	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.206	4.10027E-05	4.0756E-05	7.4144E-13	0.1136	0.1136	0.0836	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.241	4.10053E-05	4.07573E-05	7.4872E-13	0.1135	0.1135	0.0924	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.267	4.1E-05	4.07547E-05	7.5248E-13	0.1133	0.1133	0.0967	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.301	4.09987E-05	4.07547E-05	7.5976E-13	0.1132	0.1132	0.105	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.327	4.10013E-05	4.07587E-05	7.632E-13	0.1131	0.1131	0.1086	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.362	4.09973E-05	4.07613E-05	7.6784E-13	0.1129	0.1131	0.1136	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.396	4.09947E-05	4.0764E-05	7.6984E-13	0.1127	0.113	0.1154	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.422	4.09973E-05	4.07627E-05	7.7344E-13	0.1127	0.1129	0.1191	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.457	4.09947E-05	4.07613E-05	7.7528E-13	0.1125	0.1127	0.1207	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.483	4.09907E-05	4.07573E-05	7.796E-13	0.1123	0.1125	0.125	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.517	4.0988E-05	4.07547E-05	7.8376E-13	0.1121	0.1124	0.129	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.552	4.09827E-05	4.07493E-05	7.856E-13	0.1119	0.1121	0.1304	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.578	4.09867E-05	4.07493E-05	7.896E-13	0.1119	0.112	0.1342	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.612	4.09853E-05	4.0756E-05	7.9136E-13	0.1117	0.1121	0.1355	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.647	4.09867E-05	4.0756E-05	7.948E-13	0.1117	0.1119	0.1385	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.673	4.0988E-05	4.076E-05	7.9656E-13	0.1116	0.1119	0.1397	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.708	4.09853E-05	4.07587E-05	8E-13	0.1114	0.1118	0.1427	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.733	4.0984E-05	4.07547E-05	8.0104E-13	0.1113	0.1116	0.1431	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.768	4.098E-05	4.0752E-05	8.0224E-13	0.1111	0.1114	0.1437	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.803	4.09787E-05	4.07493E-05	8.0232E-13	0.1109	0.1112	0.1431	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.828	4.09813E-05	4.07453E-05	8.0208E-13	0.1109	0.111	0.1422	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.863	4.0984E-05	4.0748E-05	8.0072E-13	0.1108	0.111	0.1402	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.889	4.09853E-05	4.0756E-05	8E-13	0.1108	0.111	0.1389	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.924	4.09867E-05	4.07493E-05	7.984E-13	0.1107	0.1108	0.1366	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
18524526.958	4.0984E-05	4.07467E-05	7.9776E-13	0.1105	0.1106	0.1354	15.85036	290.1671	302.0949	6.79711	81.88445	103.04	103.04	5.952637	2.824219	6.123997	4.528809	90772.73	1208.51776	0.1910502	-4.255567
